Product Name,Current Price,Original Price,Image URL,Stock,item_id
"No Void Minds AEZY Regular Fit Core T-Shirt | Charcoal - Charcoal, S",Rp89.900,Rp279.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/1714d3ef6e96480985627be850ac0a93~.jpeg.webp?ect=4g,940,1
"COZYCLUB Frank Polo Knit Shirt  - Kaos Kerah Pria - Kaos Lengan Pendek Baju Brown Panjang Casual - Black, S",Rp99.000,Rp199.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/2e77fdb3b4de4cda8d27f641daebfe3e~.jpeg.webp?ect=4g,164,2
