review,rating,date
Asliii l keren🔥🔥🔥❣️❣️❣️❣️,bintang 4,6 bulan lalu
Sukaa banget sama sepatu ini. Akhirnya menemukan sepatu dengan size yang pas untuk kaki mungilku. Punya banyak ukuran dan nyaman banget dipake sehari-hari kekampus dan ja...,bintang 5,5 bulan lalu
"Bentuk dan ukuran: Pas
Aroma: Bagis
Daya tahan pakai: Enak
Warna: Pas dengan yg di pesan
Ini sepatu yg aku mau udah lama baru Nemu seneng banget dan bagus harga terjangka...",bintang 5,4 bulan lalu
Bagus sesuai deskripsi..pas di kaki aku enak lemnut bahannya,bintang 5,4 bulan lalu
Bagus bgt. kulitnya juga lembut jadi dipake gak akan lecet.disarankan untuk kaki lebar pilih upsize. karna sepatunya ramping kedepan. untung kaki ak kecil jadi aman gak s...,bintang 5,
"Warna: hitam
Bentuk dan ukuran: boots, size 38
gimana ya kak tolong di perbarui untuk kotaknya penyok, dan sebelum dibuka jg plastiknya koyak kayak ada yg buka gitu.
cuma...",bintang 4,5 bulan lalu
"Pengiriman cepat , bagus sepatunya cuma telapak nya tipis dan licin .. Tapi bolehlah untuk d pake sekali2 ... Amanah",bintang 4,1 minggu lalu
"Khusus yang masih ragu belinya liat foto yang gw kasi, untuk harga segitu dengan kualitas seperti ini gw rasa ini cukup bagus",bintang 5,5 bulan lalu
"bagus,pas di kaki bahan lembut tidak kaku",bintang 5,7 bulan lalu
Bagus seh tapi kayaknya g awet bahannya tipis dan g dijahit cuma dilem aja. Ini aku coba jalan sehari bawahnya kaya ngelupas gt 😖😖😖,bintang 4,4 bulan lalu
Bahan bagus nyaman dipkenya nie ke 2xnya beli👍👍,bintang 5,2 bulan lalu
"ukuran nya pas, kurang empuk sih pegel pasti kalo buat jalan jauh, tapi buat harga segini udh bagus bgt. thank u",bintang 5,
"Bagus, sesuai hargalah ya bahanya GK tau apa namanya, agak tipis, tp ok lah ya, harga segitu",bintang 5,6 bulan lalu
"Alhamdulillah sdh sampai..bagus,nyaman di pake gk tau kl di pake jalan lama. Semoga gk sakit kaki",bintang 5,3 bulan lalu
"bagus bgt sepatunya, bahannya juga bagus, ukuran nya juga pas",bintang 5,
"baguss bngtt, pas jugaa sepatunya😍😍😍",bintang 5,4 bulan lalu
Selalu puas belanja ditoko ini bagus baguss pengiriman barang cepat pengemasan produk bagus dan sangat baik,bintang 5,5 bulan lalu
